position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
333,1,333,14941,,"Москва г, Перовский проезд, 54",34564,900 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/g-moskva"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
334,1,334,14942,,"Владимирская обл, Владимир г, Тракторная ул, 1",353566,5 306 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/g-vladimir"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
335,1,335,14853,,"Ленинградская обл, Фёдоровское гп, Фабричный пр-д, 5",1440,65 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-teplogo-skladskogo-pomeshheniia-1440-m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
336,1,336,14705,,"Санкт-Петербург г, Варшавская ул, 6к1",572.9,196 000 000,105 000,У нас дешевле на 195 895 000 (99.9%),-195 895 000,-99.9%,any_type,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-uglovogo-pomeshheniia-s-piaterockoi"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/10067"",""ссылка"")","По адресу есть, но площадь другая",9,"Архив rent 239 м² 238 999 =HYPERLINK(""https://app.worldcafe.ru/object/13784"",""ссылка"") | Архив rent 223 м² 268 000 =HYPERLINK(""https://app.worldcafe.ru/object/8606"",""ссылка"") | Архив rent 127 м² 180 000 =HYPERLINK(""https://app.worldcafe.ru/object/10626"",""ссылка"") | Архив rent 88 м² 133 000 =HYPERLINK(""https://app.worldcafe.ru/object/10623"",""ссылка"") | Архив rent 88 м² 133 000 =HYPERLINK(""https://app.worldcafe.ru/object/11054"",""ссылка"") | Архив rent 65 м² 105 000 =HYPERLINK(""https://app.worldcafe.ru/object/10067"",""ссылка"") | Архив rent 57 м² 120 000 =HYPERLINK(""https://app.worldcafe.ru/object/10629"",""ссылка"") | Архив rent 56 м² 120 000 =HYPERLINK(""https://app.worldcafe.ru/object/10518"",""ссылка"") | Архив rent 50.4 м² 150 000 =HYPERLINK(""https://app.worldcafe.ru/object/10616"",""ссылка"")"
337,1,337,14677,,"Ленинградская обл, Сосново п, Ленинградская ул, 9",410,50 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-magnit"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
338,1,338,14675,,"Санкт-Петербург г, Камышовая ул, 17",3470,609 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/osz-s-okupaemostiu-12-let-s-zemlei"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
339,1,339,14653,,"Ленинградская обл, Янино-1 гп, Шоссейная ул, 10",210,35 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-biznesa-mobilnoi-azs-na-sieezde-s-kada"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
340,1,340,16530,,"Парголово п, Заречная ул, 40к1",79.1,19 775 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-studiia-tancev"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
341,1,341,14631,,"Санкт-Петербург г, Парашютная ул, 63",710,81 000 002,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-pod-sobstvennyi-biznes-1"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
342,1,342,14593,,"Санкт-Петербург г, Лесной пр-кт, 75",484.5,53 688 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-2-x-etaznogo-pomeshheniia-na-liteinom-pr-te"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
343,1,343,14557,,"Санкт-Петербург г, Петровская коса, 1к1 Р",250,68 692 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-ofisnogo-bloka-250-m2petrovskii-ostrov"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
344,1,344,14541,,"Санкт-Петербург г, Римского-Корсакова пр-кт, 49",150.8,35 000 000,35 000 000,Цена равна,0,0.0%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/cito-gvrito"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19153"",""ссылка"")",Совпало,1,"Архив sale 151 м² 35 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19153"",""ссылка"")"
345,1,345,14531,,"Санкт-Петербург г, Выборгская наб, 59",300,25 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/gotovyi-biznes-sveinaia-fabrika-okupaemost-4-goda"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
346,1,346,14524,,"Санкт-Петербург г, Северный пр-кт, 115к2",263.3,61 000 000,63 000 000,У нас дороже на 2 000 000 (3.3%),2 000 000,3.3%,sale_only,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-pomeshheniia-s-arendatorom-samokat-1"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18902"",""ссылка"")",Совпало,1,"Архив sale 260 м² 63 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/18902"",""ссылка"")"
347,1,347,14510,,"Санкт-Петербург г, Шотмана ул, 7",540,54 000 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-s-arendatorom-piaterocka-445m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
348,1,348,14476,,"Санкт-Петербург г, Академика Лебедева ул, 31",58,45 320 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-gab-s-setevym-arendatorom"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
349,1,349,14406,,"Ленинградская обл, Новое Девяткино д, Главная ул, 8",112,34 900 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/psn-112m2"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
350,1,350,14321,,"Санкт-Петербург г, Гражданский пр-кт, 9 А",234,50 300 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/prodaza-s-arendatorami-234-kvm-1"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
351,1,351,14313,,"Санкт-Петербург г, Академика Константинова ул, 8к2",101.2,26 315 000,,,,,,no,nordwest_no_npro_scan,"=HYPERLINK(""https://nordwestinvest.ru/real-estates/pomeshhenie-v-zk-biznes-klassa"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
