timestamp,session_id,respondent_id,respondent_label,index,object_id,address,district,area_m2,price_rub,sources,vote,rubric,rubric_class
2026-02-16T09:36:29,26,olya,Оля,1,obj_4,"Отдыха ул, 6 А",Курортный,26647,1 700 000 000,KNRU#3/1313,left,,
2026-02-16T09:36:29,26,olya,Оля,2,obj_8,"13-я В.О. линия, 50",Василеостровский,1000,482 196 523,KNRU#6/1313,right,,
2026-02-16T09:36:29,26,olya,Оля,3,obj_11,"Леонова ул, 5",Чкаловский,707,77 700 000,KNRU#8/1313,right,,
2026-02-16T09:36:40,27,olya,Оля,0,obj_12,"Муринская дор, 4к1",Не указан,229,92 500 000,Северо-Запад#4/588,right,,
2026-02-16T09:36:40,27,olya,Оля,1,obj_13,"Лиговский пр-кт, 56Б",Центральный,86.1,21 525 000,KNRU#9/1313,left,,
2026-02-16T09:36:40,27,olya,Оля,2,obj_14,"Лиговский пр-кт, 56Б",Центральный,52.5,14 962 500,KNRU#10/1313,right,,
2026-02-16T09:36:41,27,olya,Оля,3,obj_15,"Лиговский пр-кт, 56Б",Центральный,82.7,20 675 000,KNRU#11/1313,left,,
2026-02-16T09:36:42,27,olya,Оля,4,obj_16,"Ленинградская обл, Кудрово г, Строителей пр-кт, 16",Не указан,79.3,20 000 000,Северо-Запад#5/588,right,,
2026-02-16T09:36:42,27,olya,Оля,5,obj_17,"Маршала Блюхера пр-кт, 74к2 стр 1",Не указан,2364,283 680 000,KNRU#12/1313,left,,
2026-02-16T09:37:04,27,olya,Оля,6,obj_19,"Фёдора Котанова ул, 5к1стр1",Не указан,104.7,51 400 000,Северо-Запад#6/588,right,,
2026-02-16T09:37:06,27,olya,Оля,7,obj_20,"проспект Будённого, 18к4",Петродворцовый,244,80 520 000,KNRU#14/1313,left,,
2026-02-16T09:37:07,27,olya,Оля,8,obj_21,"проспект Будённого, 18к4",Петродворцовый,93,32 550 000,KNRU#15/1313,left,,
2026-02-16T09:38:44,28,olya,Оля,0,obj_23,"Чайковского ул, 12а Л",Центральный,724,175 000 000,KNRU#16/1313,right,,
2026-02-16T09:38:45,28,olya,Оля,1,obj_24,"Чайковского ул, 12а Л",Центральный,192,41 000 000,KNRU#17/1313,left,,
2026-02-16T09:38:46,28,olya,Оля,2,obj_34,"9-я В.О. линия, 32",Василеостровский,190,95 000 000,KNRU#25/1313,right,,
2026-02-16T09:39:14,28,olya,Оля,0,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:14,28,olya,Оля,1,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:15,28,olya,Оля,2,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:15,28,olya,Оля,3,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:15,28,olya,Оля,4,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:15,28,olya,Оля,5,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:16,28,olya,Оля,6,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:16,28,olya,Оля,7,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:17,28,olya,Оля,8,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:17,28,olya,Оля,9,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:17,28,olya,Оля,10,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:17,28,olya,Оля,11,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:18,28,olya,Оля,12,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:18,28,olya,Оля,13,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:18,28,olya,Оля,14,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:18,28,olya,Оля,15,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:20,28,olya,Оля,0,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:21,28,olya,Оля,1,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:21,28,olya,Оля,2,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:23,28,olya,Оля,0,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:24,28,olya,Оля,1,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:24,28,olya,Оля,2,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,left,,
2026-02-16T09:39:24,28,olya,Оля,3,obj_22,"Песочный п, Школьная ул, 80",Не указан,85,24 000 000,Северо-Запад#7/588,right,,
2026-02-16T09:39:28,28,olya,Оля,0,obj_25,"Ленинградская обл, Мистолово д, -, -",Не указан,12027,120 000 000,Северо-Запад#8/588,right,,
2026-02-16T09:39:33,28,olya,Оля,1,obj_33,"Кронштадт г, Тулонская ал, 10стр1",Не указан,64.9,22 000 000,Северо-Запад#11/588,left,,
2026-02-16T09:39:34,28,olya,Оля,2,obj_37,"Гороховая ул, 11",Адмиралтейский,118,5 000 000,KNRU#27/1313,right,,
2026-02-16T09:39:35,28,olya,Оля,3,obj_38,"Московский пр-кт, 43",Адмиралтейский,17,7 000 000,KNRU#28/1313,left,,
2026-02-16T09:39:38,28,olya,Оля,4,obj_45,"Парфёновская ул, -",Не указан,7861,700 000 000,Северо-Запад#15/588,right,,
2026-02-16T09:39:39,28,olya,Оля,5,obj_47,"Кондратьевский пр-кт, 49",Калининский,201,59 900 000,KNRU#35/1313,left,,
2026-02-16T09:39:42,28,olya,Оля,6,obj_48,"Малая Митрофаньевская ул, -",Не указан,7233,700 000 000,Северо-Запад#16/588,left,,
2026-02-16T09:39:44,28,olya,Оля,7,obj_49,"1-я Никитинская ул, 16",Приморский,4500,850 000 000,KNRU#36/1313,left,,
2026-02-16T09:39:49,28,olya,Оля,8,obj_54,"Кубинская ул, 4к1 А",Не указан,4850,430 000 000,Северо-Запад#18/588,left,,
2026-02-16T09:39:50,28,olya,Оля,9,obj_55,"Казанская ул, 29",Адмиралтейский,140,5 500 000,KNRU#41/1313,right,,
2026-02-16T09:39:50,28,olya,Оля,10,obj_56,"Дыбенко ул, 1к2",Невский,500,90 000 000,KNRU#42/1313,right,,
2026-02-16T09:39:53,28,olya,Оля,11,obj_57,"Ленинградская обл, Щеглово массив, -, -",Не указан,353313,570 000 000,Северо-Запад#19/588,left,,
2026-02-16T09:39:55,28,olya,Оля,12,obj_60,"Ленинградская обл, Фёдоровское гп, -, -",Не указан,166853,250 000 000,Северо-Запад#20/588,left,,
2026-02-16T09:39:58,28,olya,Оля,13,obj_61,"Торфяная дор, 17к6",Приморский,2290,180 000 000,KNRU#45/1313,left,,
2026-02-16T09:39:59,28,olya,Оля,14,obj_62,"Большая Разночинная ул, 4",Петроградский,82,6 000 000,KNRU#46/1313,left,,
2026-02-16T09:40:45,28,olya,Оля,15,obj_63,"Ветеранов пр-кт, 198",Не указан,25,14 300 000,Северо-Запад#21/588,right,,
2026-02-16T09:40:45,28,olya,Оля,16,obj_65,"Александра Блока ул, 5",Адмиралтейский,106.8,46 992 000,KNRU#48/1313,left,,
2026-02-16T09:40:47,28,olya,Оля,17,obj_68,"Ириновский пр-кт, 38",Красногвардейский,79,27 646 500,KNRU#50/1313,left,,
2026-02-16T09:40:53,28,olya,Оля,18,obj_70,"Ленинградская обл, Орехово п. ж/д ст., Главная ул, 50/1",Не указан,688.3,165 000 000,Северо-Запад#23/588,left,,
2026-02-16T09:40:59,28,olya,Оля,19,obj_71,"Бухарестская ул, 39к1",Фрунзенский,28.1,17 000 000,KNRU#52/1313,left,,
2026-02-16T09:41:02,28,olya,Оля,20,obj_72,"Реки Малой Невки наб, 33а",Петроградский,1465.5,600 000 000,KNRU#53/1313,left,,
2026-02-16T09:41:03,28,olya,Оля,21,obj_74,"Серпуховская ул, 37 Б",Адмиралтейский,1322.6,240 000 000,KNRU#54/1313,left,,
2026-02-16T09:41:04,28,olya,Оля,22,obj_75,"Реки Пряжки наб, 7а",Адмиралтейский,94.5,76 000 000,KNRU#55/1313,left,,
2026-02-16T09:41:12,28,olya,Оля,23,obj_76,"Шушары п, Нины Петровой ул, 8к1",Не указан,152,48 600 000,Северо-Запад#25/588,left,,
2026-02-16T09:41:13,28,olya,Оля,24,obj_79,"Стачек пр-кт, 62",Кировский,45.1,10 598 500,KNRU#58/1313,right,,
2026-02-16T09:41:29,28,olya,Оля,25,obj_85,"Большой П.С. пр-кт, 38 40",Петроградский,198,46 000 000,KNRU#62/1313,right,,
2026-02-16T09:41:30,28,olya,Оля,26,obj_88,"Маяковского ул, 16",Центральный,72,48 600 000,KNRU#64/1313,right,,
2026-02-16T09:41:34,28,olya,Оля,27,obj_89,"Южное ш, 57к2 А",Не указан,84.6,29 800 000,Северо-Запад#29/588,left,,
2026-02-16T09:41:47,28,olya,Оля,28,obj_90,"Менделеева б-р, 11к3",Мурино,500,17 900 000,KNRU#65/1313,left,,
2026-02-16T09:43:19,28,olya,Оля,0,obj_91,"Гороховая ул, 27",Адмиралтейский,55,22 000 000,KNRU#66/1313,left,,
2026-02-16T09:43:20,28,olya,Оля,1,obj_94,"Полюстровский пр-кт, 83 И",Калининский,6902,300 000 000,KNRU#68/1313,right,,
2026-02-16T09:43:22,28,olya,Оля,2,obj_95,"Мурманское шоссе 12-й км, 2А",Не указан,2880,285 120 000,KNRU#69/1313,left,,
2026-02-16T09:43:23,28,olya,Оля,3,obj_97,"Мурманское шоссе 12-й км, 2А",Не указан,1440,142 560 000,KNRU#70/1313,left,,
2026-02-16T09:43:29,28,olya,Оля,4,obj_98,"Швецова ул, 30",Не указан,893,77 000 000,KNRU#71/1313,left,,
2026-02-16T09:43:31,28,olya,Оля,5,obj_100,"Республиканская ул, 8А",Красногвардейский,728.4,158 000 000,KNRU#72/1313,left,,
2026-02-16T09:45:55,29,olya,Оля,0,obj_103,"Жуковского ул, 7-9",Центральный,182,89 900 000,KNRU#74/1313,right,,
2026-02-16T09:45:57,29,olya,Оля,1,obj_104,"Воронцовский б-р, 17",Всеволожский,149,62 000 000,KNRU#75/1313,right,,
