position_global,page_num,page_pos,competitor_listing_id,deal_type,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
82,1,82,4547942000062710785,sale,,"Караваевская улица, 23",4596,450 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/4547942000062710785"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
83,1,83,2960876435953035521,sale,,"Кудрово, Областная улица, 7",286.9,81 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/2960876435953035521"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
84,1,84,13299617713468929,sale,,"Зеленогорск, Приморское шоссе, 516",2088,310 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/13299617713468929"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
85,1,85,3740604507814073089,sale,,"Северный проспект, 40",3586.7,350 000 000,349 950 000,У нас дешевле на 50 000 (0.0%),-50 000,-0.0%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/3740604507814073089"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15612"",""ссылка"")",Совпало,1,"Архив sale 3586.7 м² 349 950 000 =HYPERLINK(""https://app.worldcafe.ru/object/15612"",""ссылка"")"
86,1,86,4917800007374166017,sale,,"1-я Утиная улица, 28",268.5,40 000 000,14 000 000,У нас дешевле на 26 000 000 (65.0%),-26 000 000,-65.0%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/4917800007374166017"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12048"",""ссылка"")","По адресу есть, но площадь другая",11,"Без сделки no_deal 228.7 м² =HYPERLINK(""https://app.worldcafe.ru/object/17291"",""ссылка"") | Без сделки no_deal 189.3 м² =HYPERLINK(""https://app.worldcafe.ru/object/17288"",""ссылка"") | Без сделки no_deal 185.5 м² =HYPERLINK(""https://app.worldcafe.ru/object/17282"",""ссылка"") | Без сделки no_deal 162.8 м² =HYPERLINK(""https://app.worldcafe.ru/object/17283"",""ссылка"") | Без сделки no_deal 147.9 м² =HYPERLINK(""https://app.worldcafe.ru/object/17290"",""ссылка"") | Без сделки no_deal 147.8 м² =HYPERLINK(""https://app.worldcafe.ru/object/17289"",""ссылка"") | Без сделки no_deal 135.5 м² =HYPERLINK(""https://app.worldcafe.ru/object/17287"",""ссылка"") | Без сделки no_deal 135.2 м² =HYPERLINK(""https://app.worldcafe.ru/object/17286"",""ссылка"") | Архив sale 121.4 м² 14 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/12048"",""ссылка"") | Без сделки no_deal 108.1 м² =HYPERLINK(""https://app.worldcafe.ru/object/17284"",""ссылка"") | Без сделки no_deal 15.3 м² =HYPERLINK(""https://app.worldcafe.ru/object/17285"",""ссылка"")"
87,1,87,2930121978527983105,sale,,"Орлово-Денисовский проспект, 19к1",316.3,120 000 000,80 000 000,У нас дешевле на 40 000 000 (33.3%),-40 000 000,-33.3%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/2930121978527983105"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13135"",""ссылка"")",Совпало,1,"Архив sale 315 м² 80 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/13135"",""ссылка"")"
88,1,88,5890037388743480833,sale,,"Выборгское шоссе, 12",5928,890 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/5890037388743480833"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
89,1,89,6284624648203634945,sale,,"Суздальское шоссе, 26к1",901.5,150 000 000,150 000 000,Цена равна,0,0.0%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/6284624648203634945"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15621"",""ссылка"")",Совпало,1,"Архив sale 901.5 м² 150 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/15621"",""ссылка"")"
90,1,90,6241968243355837953,sale,,"Гражданский проспект, 89",630,225 000 000,200 000,У нас дешевле на 224 800 000 (99.9%),-224 800 000,-99.9%,any_type,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/6241968243355837953"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12097"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 268 м² 200 000 =HYPERLINK(""https://app.worldcafe.ru/object/12097"",""ссылка"")"
91,1,91,5139029557413289473,sale,,"проспект Просвещения, 53к1",417.5,93 000 000,280 000,У нас дешевле на 92 720 000 (99.7%),-92 720 000,-99.7%,any_type,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/5139029557413289473"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12748"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив rent 243.9 м² 390 000 =HYPERLINK(""https://app.worldcafe.ru/object/18075"",""ссылка"") | Архив rent 140 м² 280 000 =HYPERLINK(""https://app.worldcafe.ru/object/12748"",""ссылка"")"
92,1,92,964642644276470273,sale,,"улица Даниила Хармса, 4",467,75 000 000,,,,,,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/964642644276470273"",""ссылка"")",,"По адресу есть, но площадь другая",5,"Без сделки no_deal 253.5 м² =HYPERLINK(""https://app.worldcafe.ru/object/17701"",""ссылка"") | Без сделки no_deal 250.3 м² =HYPERLINK(""https://app.worldcafe.ru/object/17704"",""ссылка"") | Без сделки no_deal 228.8 м² =HYPERLINK(""https://app.worldcafe.ru/object/17703"",""ссылка"") | Без сделки no_deal 213.9 м² =HYPERLINK(""https://app.worldcafe.ru/object/17700"",""ссылка"") | Без сделки no_deal 212.7 м² =HYPERLINK(""https://app.worldcafe.ru/object/17702"",""ссылка"")"
93,1,93,2580884508508319745,sale,,"Северный проспект, 129",945,160 000 000,21 000 000,У нас дешевле на 139 000 000 (86.9%),-139 000 000,-86.9%,same_deal,no,yandex_tile_d1,"=HYPERLINK(""https://realty.yandex.ru/offer/2580884508508319745"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15573"",""ссылка"")","По адресу есть, но площадь другая",2,"На сайте sale 92.2 м² 25 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/19871"",""ссылка"") | Архив sale 89.5 м² 21 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/15573"",""ссылка"")"
