position_global,page_num,page_pos,competitor_listing_id,district,address,area_m2,price_rub,our_best_price_rub,price_alert,price_diff_rub,price_diff_pct,price_scope,pro_mark,pro_note,competitor_link,our_best_link,result,matched_count,reason
19,1,19,1,Калининский,"Науки пр-кт, 16к1",701,350 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/pr-nauki-d-16-k-1/"",""ссылка"")",,Совпало,1,"Без сделки no_deal 701.8 м² =HYPERLINK(""https://app.worldcafe.ru/object/18726"",""ссылка"")"
20,1,20,1951564805,Калининский,"Гражданский пр-кт, 113к3",73.9,24 500 000,270 000,У нас дешевле на 24 230 000 (98.9%),-24 230 000,-98.9%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/grazhdanskiy-pr-kt-113k3-1951564805/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 206 м² 270 000 =HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")"
21,1,21,1322926956,Калининский,"Гражданский пр-кт, 113к3",48.4,15 400 000,270 000,У нас дешевле на 15 130 000 (98.2%),-15 130 000,-98.2%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/grazhdanskiy-pr-kt-113k3-1322926956/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 206 м² 270 000 =HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")"
22,1,22,1720420455,Калининский,"Гражданский пр-кт, 113к3",24,10 300 000,270 000,У нас дешевле на 10 030 000 (97.4%),-10 030 000,-97.4%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/grazhdanskiy-pr-kt-113k3-1720420455/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 206 м² 270 000 =HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")"
23,1,23,,Калининский,"Гражданский пр-кт, 113к3",25.5,10 300 000,270 000,У нас дешевле на 10 030 000 (97.4%),-10 030 000,-97.4%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/grazhdanskiy-pr-kt-113k3/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 206 м² 270 000 =HYPERLINK(""https://app.worldcafe.ru/object/9119"",""ссылка"")"
24,1,24,11,Петроградский,"Каменноостровский пр-кт, 11 А",1178,450 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/kamennoostrovskiy-pr-kt-d-11/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
25,2,1,1718420734,Василеостровский,"9-я В.О. линия, 32",190,95 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/9-ya-v-o-liniya-32-1718420734/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
26,2,2,72,Центральный,"Невский пр-кт, 72",90,9 000 000,1 200 000,У нас дешевле на 7 800 000 (86.7%),-7 800 000,-86.7%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/nevskiy-prospekt-d-72/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18621"",""ссылка"")","У нас аренда, у конкурента продажа",1,"Архив rent 90.1 м² 1 200 000 =HYPERLINK(""https://app.worldcafe.ru/object/18621"",""ссылка"")"
27,2,3,11,Адмиралтейский,"Гороховая ул, 11",118,5 000 000,5 000 000,Цена равна,0,0.0%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/gorokhovaya-ul-11/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/20084"",""ссылка"")",Совпало,1,"На сайте business_sale 118 м² 5 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/20084"",""ссылка"")"
28,2,4,43,Адмиралтейский,"Московский пр-кт, 43",17,7 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/moskovskiy-pr-kt-43/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
29,2,5,1597765995,Приморский,"Комендантский пр-кт, 28к1",653,70 000 000,200 000,У нас дешевле на 69 800 000 (99.7%),-69 800 000,-99.7%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/komendantskiy-pr-kt-28k1-1597765995/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/7957"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 310 м² 200 000 =HYPERLINK(""https://app.worldcafe.ru/object/7957"",""ссылка"")"
30,2,6,536729766,Адмиралтейский,"Садовая ул, 42",140.1,3 000 000,370 000,У нас дешевле на 2 630 000 (87.7%),-2 630 000,-87.7%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/sadovaya-ul-42-536729766/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8568"",""ссылка"")","У нас аренда, у конкурента продажа",2,"На сайте rent 140 м² 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/20158"",""ссылка"") | Архив rent 145 м² 370 000 =HYPERLINK(""https://app.worldcafe.ru/object/8568"",""ссылка"")"
31,2,7,107,Московский,"Московский пр-кт, 105-107",856,200 000 000,500 000,У нас дешевле на 199 500 000 (99.8%),-199 500 000,-99.8%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/moskovskiy-pr-kt-105-107/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8407"",""ссылка"")","По адресу есть, но площадь другая",3,"Архив rent 467 м² 990 000 =HYPERLINK(""https://app.worldcafe.ru/object/19038"",""ссылка"") | Архив rent 168 м² 1 512 000 =HYPERLINK(""https://app.worldcafe.ru/object/13524"",""ссылка"") | Архив business_sale 82 м² 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/8407"",""ссылка"")"
32,2,8,1919600280,Петроградский,"Гатчинская ул, 31-33",160,75 000 000,170 000,У нас дешевле на 74 830 000 (99.8%),-74 830 000,-99.8%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/gatchinskaya-ul-d-31-33-1919600280/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13996"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив rent 99.2 м² 170 000 =HYPERLINK(""https://app.worldcafe.ru/object/13996"",""ссылка"") | Архив rent 254 м² 470 000 =HYPERLINK(""https://app.worldcafe.ru/object/18381"",""ссылка"")"
33,2,9,26,Кировский,"Зои Космодемьянской ул, 17/26",96,9 900 000,7 500 000,У нас дешевле на 2 400 000 (24.2%),-2 400 000,-24.2%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/zoi-kosmodemyanskoy-ul-17-26/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18128"",""ссылка"")",Совпало,2,"Архив rent 95.6 м² 80 000 =HYPERLINK(""https://app.worldcafe.ru/object/18128"",""ссылка"") | Архив sale 95.6 м² 7 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/18128"",""ссылка"")"
34,2,10,8,Адмиралтейский,"Верейская ул, 8",57.7,12 000 000,7 400 000,У нас дешевле на 4 600 000 (38.3%),-4 600 000,-38.3%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/vereyskaya-ul-8/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19322"",""ссылка"")","По адресу есть, но площадь другая",1,"На сайте sale 44.5 м² 7 400 000 =HYPERLINK(""https://app.worldcafe.ru/object/19322"",""ссылка"")"
35,2,11,374153272,Калининский,"Кондратьевский пр-кт, 49",201,59 900 000,59 900 000,Цена равна,0,0.0%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/kondratevskiy-pr-kt-49-374153272/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19880"",""ссылка"")",Совпало,1,"На сайте sale 201 м² 59 900 000 =HYPERLINK(""https://app.worldcafe.ru/object/19880"",""ссылка"")"
36,2,12,16,Приморский,"1-я Никитинская ул, 16",4500,850 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/1-ya-nikitinskaya-ul-16/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
37,2,13,33,Центральный,"Восстания ул, 33",200,4 300 000,1 500 000,У нас дешевле на 2 800 000 (65.1%),-2 800 000,-65.1%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/vosstaniya-ul-d-33/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/8445"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив rent 114 м² 270 000 =HYPERLINK(""https://app.worldcafe.ru/object/8445"",""ссылка"") | Архив sale 114 м² 1 500 000 =HYPERLINK(""https://app.worldcafe.ru/object/8445"",""ссылка"")"
38,2,14,48,Невский,"Бабушкина, 48",59,14 500 000,12 000 000,У нас дешевле на 2 500 000 (17.2%),-2 500 000,-17.2%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/babushkina-ul-d-48/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11474"",""ссылка"")","По адресу есть, но площадь другая",3,"Без сделки no_deal 82 м² =HYPERLINK(""https://app.worldcafe.ru/object/11473"",""ссылка"") | На сайте rent 84 м² 100 000 =HYPERLINK(""https://app.worldcafe.ru/object/11474"",""ссылка"") | На сайте sale 84 м² 12 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/11474"",""ссылка"")"
39,2,15,,Калининский,"Кондратьевский пр-кт, 40к14",87.6,7 000 000,310 000 000,У нас дороже на 303 000 000 (4328.6%),303 000 000,4328.6%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/kondratevskiy-pr-kt-40k14/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/7631"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив sale 2200 м² 310 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/7631"",""ссылка"")"
40,2,16,59,Адмиралтейский,"Канала Грибоедова наб, 59",80,2 500 000,2 990 000,У нас дороже на 490 000 (19.6%),490 000,19.6%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/kanala-griboedova-nab-59/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/14694"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив business_sale 86.2 м² 2 990 000 =HYPERLINK(""https://app.worldcafe.ru/object/14694"",""ссылка"")"
41,2,17,29,Адмиралтейский,"Казанская ул, 29",140,5 500 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/kazanskaya-ul-29/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
42,2,18,,Невский,"Дыбенко ул, 1к2",500,90 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/dybenko-ul-1k2/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
43,2,19,23,Центральный,"Восстания ул, 23/1",107,7 900 000,350 000,У нас дешевле на 7 550 000 (95.6%),-7 550 000,-95.6%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/ul-vosstaniya-d-23/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9156"",""ссылка"")","У нас аренда, у конкурента продажа",1,"Архив rent 107 м² 350 000 =HYPERLINK(""https://app.worldcafe.ru/object/9156"",""ссылка"")"
44,2,20,1748589737,Центральный,"Чернышевского, 13",142,3 900 000,399 000,У нас дешевле на 3 501 000 (89.8%),-3 501 000,-89.8%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/chernyshevskogo-pr-d-13-1748589737/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13042"",""ссылка"")","У нас аренда, у конкурента продажа",1,"На сайте rent 142 м² 399 000 =HYPERLINK(""https://app.worldcafe.ru/object/13042"",""ссылка"")"
45,2,21,6,Приморский,"Торфяная дор, 17к6",2290,180 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/torfyanaya-doroga-d-17k-6/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
46,2,22,4,Петроградский,"Большая Разночинная ул, 4",82,6 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/bolshaya-raznochinnaya-ul-4/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
47,2,23,38,Петроградский,"Профессора Попова ул, 38",5992,2 454 409 000,180 000 000,У нас дешевле на 2 274 409 000 (92.7%),-2 274 409 000,-92.7%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/professora-popova-ul-38/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13675"",""ссылка"")","По адресу есть, но площадь другая",2,"Архив rent 703 м² 999 000 =HYPERLINK(""https://app.worldcafe.ru/object/13675"",""ссылка"") | Архив sale 703 м² 180 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/13675"",""ссылка"")"
48,2,24,,Адмиралтейский,"Александра Блока ул, 5",106.8,46 992 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/ostrov-pervykh/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
49,3,1,18,Петроградский,"Большая Зеленина ул, 18",120,6 900 000,499 000,У нас дешевле на 6 401 000 (92.8%),-6 401 000,-92.8%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/bolshaya-zelenina-ul-18/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15531"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 147 м² 499 000 =HYPERLINK(""https://app.worldcafe.ru/object/15531"",""ссылка"")"
50,3,2,2075826791,Красногвардейский,"Ириновский пр-кт, 38",79,27 646 500,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/irinovskiy-pr-d-38-2075826791/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
51,3,3,18,Адмиралтейский,"Пирогова пер, 18",750,20 000 000,177 000,У нас дешевле на 19 823 000 (99.1%),-19 823 000,-99.1%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/pirogova-per-18/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/9137"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 187 м² 177 000 =HYPERLINK(""https://app.worldcafe.ru/object/9137"",""ссылка"")"
52,3,4,627284695,Фрунзенский,"Бухарестская ул, 39к1",28.1,17 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/bukharestskaya-ul-39k1-627284695/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
53,3,5,,Петроградский,"Реки Малой Невки наб, 33а",1465.5,600 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/reki-maloy-nevki-nab-33a/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
54,3,6,,Адмиралтейский,"Серпуховская ул, 37 Б",1322.6,240 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/serpukhovskaya-ul-37-b/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
55,3,7,,Адмиралтейский,"Реки Пряжки наб, 7а",94.5,76 000 000,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/reki-pryazhki-nab-7a/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
56,3,8,1228210364,Выборгский,"Полюстровский пр-кт, 87",127.7,51 100 000,70 000,У нас дешевле на 51 030 000 (99.9%),-51 030 000,-99.9%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/polyustrovskiy-pr-kt-87-1228210364/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12589"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 120 м² 70 000 =HYPERLINK(""https://app.worldcafe.ru/object/12589"",""ссылка"")"
57,3,9,87,Выборгский,"Полюстровский пр-кт, 87",90.5,28 039 500,70 000,У нас дешевле на 27 969 500 (99.8%),-27 969 500,-99.8%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/polyustrovskiy-pr-kt-87/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/12589"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 120 м² 70 000 =HYPERLINK(""https://app.worldcafe.ru/object/12589"",""ссылка"")"
58,3,10,62,Кировский,"Стачек пр-кт, 62",45.1,10 598 500,,,,,,no,none,"=HYPERLINK(""https://knru.ru/catalog/stachek-pr-kt-62/"",""ссылка"")",,Нет у нас,0,Совпадений по улице+дому не найдено
59,3,11,1700683247,Калининский,"Светлановский пр-кт, 85",141.4,53 017 500,40 988 800,У нас дешевле на 12 028 700 (22.7%),-12 028 700,-22.7%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/svetlanovskiy-pr-d-85-1700683247/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/15547"",""ссылка"")","По адресу есть, но площадь другая",1,"На сайте sale 128.1 м² 40 988 800 =HYPERLINK(""https://app.worldcafe.ru/object/15547"",""ссылка"")"
60,3,12,7,Центральный,"Маяковского ул, 7",142,82 900 000,69 990 000,У нас дешевле на 12 910 000 (15.6%),-12 910 000,-15.6%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/mayakovskogo-ul-7/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13721"",""ссылка"")",Совпало,2,"На сайте rent 142 м² 549 000 =HYPERLINK(""https://app.worldcafe.ru/object/13721"",""ссылка"") | На сайте sale 142 м² 69 990 000 =HYPERLINK(""https://app.worldcafe.ru/object/13721"",""ссылка"")"
61,3,13,,Всеволожский,"Шоссе в Лаврики ул, 78к1",127,30 500 000,90 000,У нас дешевле на 30 410 000 (99.7%),-30 410 000,-99.7%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/shosse-v-lavriki-ul-78k1/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/18919"",""ссылка"")","По адресу есть, но площадь другая",1,"Архив rent 73 м² 90 000 =HYPERLINK(""https://app.worldcafe.ru/object/18919"",""ссылка"")"
62,3,14,338921089,Петроградский,"Большой П.С. пр-кт, 38 40",198,46 000 000,0,У нас дешевле на 46 000 000 (100.0%),-46 000 000,-100.0%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/bolshoy-pr-ps-d-38-40-338921089/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19086"",""ссылка"")","У нас аренда, у конкурента продажа",1,"Архив rent 195.7 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/19086"",""ссылка"")"
63,3,15,1669898213,Красносельский,"Маршала Казакова ул, 70к1 стр 2",365,90 000 000,0,У нас дешевле на 90 000 000 (100.0%),-90 000 000,-100.0%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/ul-marshala-kazakova-d-70k1-1669898213/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/11461"",""ссылка"")","По адресу есть, но площадь другая",4,"Архив rent 145 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/11461"",""ссылка"") | Архив rent 145 м² 174 000 =HYPERLINK(""https://app.worldcafe.ru/object/11467"",""ссылка"") | Архив rent 145 м² 217 000 =HYPERLINK(""https://app.worldcafe.ru/object/15478"",""ссылка"") | Без сделки no_deal 145 м² =HYPERLINK(""https://app.worldcafe.ru/object/11466"",""ссылка"")"
64,3,16,16,Центральный,"Маяковского ул, 16",72,48 600 000,26 000 000,У нас дешевле на 22 600 000 (46.5%),-22 600 000,-46.5%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/ul-mayakovskogo-d-16/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13828"",""ссылка"")",Совпало,4,"На сайте rent 71.9 м² 295 000 =HYPERLINK(""https://app.worldcafe.ru/object/15548"",""ссылка"") | На сайте sale 71.9 м² 48 600 000 =HYPERLINK(""https://app.worldcafe.ru/object/15548"",""ссылка"") | Архив sale 75.2 м² 26 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/13828"",""ссылка"") | Архив rent 75.3 м² 0 =HYPERLINK(""https://app.worldcafe.ru/object/13923"",""ссылка"")"
65,3,17,3,Мурино,"Менделеева б-р, 11к3",500,17 900 000,234 000,У нас дешевле на 17 666 000 (98.7%),-17 666 000,-98.7%,any_type,no,none,"=HYPERLINK(""https://knru.ru/catalog/bulvar-mendeleeva-d-11-k-3/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/13269"",""ссылка"")",Корпус/строение не совпало,1,"Архив rent 117 м² 234 000 =HYPERLINK(""https://app.worldcafe.ru/object/13269"",""ссылка"")"
66,3,18,289175580,Адмиралтейский,"Гороховая ул, 27",55,22 000 000,28 000 000,У нас дороже на 6 000 000 (27.3%),6 000 000,27.3%,sale_only,no,none,"=HYPERLINK(""https://knru.ru/catalog/gorokhovaya-ul-27-289175580/"",""ссылка"")","=HYPERLINK(""https://app.worldcafe.ru/object/19833"",""ссылка"")",Совпало,1,"На сайте sale 55.3 м² 28 000 000 =HYPERLINK(""https://app.worldcafe.ru/object/19833"",""ссылка"")"
